Year,Country,Number
1945,US,2
1945,RS,0
1945,UK,0
1945,FR,0
1945,CN,0
1945,IS,0
1945,IN,0
1945,PK,0
1945,NK,0
1946,US,9
1946,RS,0
1946,UK,0
1946,FR,0
1946,CN,0
1946,IS,0
1946,IN,0
1946,PK,0
1946,NK,0
1947,US,13
1947,RS,0
1947,UK,0
1947,FR,0
1947,CN,0
1947,IS,0
1947,IN,0
1947,PK,0
1947,NK,0
1948,US,50
1948,RS,0
1948,UK,0
1948,FR,0
1948,CN,0
1948,IS,0
1948,IN,0
1948,PK,0
1948,NK,0
1949,US,170
1949,RS,1
1949,UK,0
1949,FR,0
1949,CN,0
1949,IS,0
1949,IN,0
1949,PK,0
1949,NK,0
1950,US,299
1950,RS,5
1950,UK,0
1950,FR,0
1950,CN,0
1950,IS,0
1950,IN,0
1950,PK,0
1950,NK,0
1951,US,438
1951,RS,25
1951,UK,0
1951,FR,0
1951,CN,0
1951,IS,0
1951,IN,0
1951,PK,0
1951,NK,0
1952,US,841
1952,RS,50
1952,UK,0
1952,FR,0
1952,CN,0
1952,IS,0
1952,IN,0
1952,PK,0
1952,NK,0
1953,US,1169
1953,RS,120
1953,UK,1
1953,FR,0
1953,CN,0
1953,IS,0
1953,IN,0
1953,PK,0
1953,NK,0
1954,US,1703
1954,RS,150
1954,UK,5
1954,FR,0
1954,CN,0
1954,IS,0
1954,IN,0
1954,PK,0
1954,NK,0
1955,US,2422
1955,RS,200
1955,UK,10
1955,FR,0
1955,CN,0
1955,IS,0
1955,IN,0
1955,PK,0
1955,NK,0
1956,US,3692
1956,RS,426
1956,UK,50
1956,FR,0
1956,CN,0
1956,IS,0
1956,IN,0
1956,PK,0
1956,NK,0
1957,US,5543
1957,RS,660
1957,UK,58
1957,FR,0
1957,CN,0
1957,IS,0
1957,IN,0
1957,PK,0
1957,NK,0
1958,US,7345
1958,RS,863
1958,UK,60
1958,FR,0
1958,CN,0
1958,IS,0
1958,IN,0
1958,PK,0
1958,NK,0
1959,US,12298
1959,RS,1048
1959,UK,78
1959,FR,0
1959,CN,0
1959,IS,0
1959,IN,0
1959,PK,0
1959,NK,0
1960,US,18638
1960,RS,1627
1960,UK,105
1960,FR,0
1960,CN,0
1960,IS,0
1960,IN,0
1960,PK,0
1960,NK,0
1961,US,22229
1961,RS,2492
1961,UK,155
1961,FR,0
1961,CN,0
1961,IS,0
1961,IN,0
1961,PK,0
1961,NK,0
1962,US,25540
1962,RS,3346
1962,UK,211
1962,FR,0
1962,CN,0
1962,IS,0
1962,IN,0
1962,PK,0
1962,NK,0
1963,US,28133
1963,RS,4259
1963,UK,256
1963,FR,0
1963,CN,0
1963,IS,0
1963,IN,0
1963,PK,0
1963,NK,0
1964,US,29463
1964,RS,5242
1964,UK,271
1964,FR,4
1964,CN,1
1964,IS,1
1964,IN,0
1964,PK,0
1964,NK,0
1965,US,31139
1965,RS,6144
1965,UK,271
1965,FR,32
1965,CN,5
1965,IS,5
1965,IN,0
1965,PK,0
1965,NK,0
1966,US,31175
1966,RS,7091
1966,UK,281
1966,FR,36
1966,CN,20
1966,IS,20
1966,IN,0
1966,PK,0
1966,NK,0
1967,US,31255
1967,RS,8400
1967,UK,355
1967,FR,36
1967,CN,25
1967,IS,25
1967,IN,0
1967,PK,0
1967,NK,0
1968,US,29561
1968,RS,9490
1968,UK,317
1968,FR,36
1968,CN,35
1968,IS,35
1968,IN,0
1968,PK,0
1968,NK,0
1969,US,27552
1969,RS,10671
1969,UK,306
1969,FR,36
1969,CN,50
1969,IS,50
1969,IN,0
1969,PK,0
1969,NK,0
1970,US,26008
1970,RS,11736
1970,UK,375
1970,FR,36
1970,CN,75
1970,IS,75
1970,IN,0
1970,PK,0
1970,NK,0
1971,US,25830
1971,RS,13279
1971,UK,412
1971,FR,45
1971,CN,100
1971,IS,100
1971,IN,0
