Date,USA,Russia,UK,France,China,Israel,India,Pakistan,North Korea,Descriptions
1945,2,0,0,0,0,0,0,0,0,"The United States conducts the world’s first atomic bomb test, called ‘Trinity’, at Alamogordo, New Mexico. The United States drops atomic bombs on Hiroshima and Nagasaki."
1946,9,0,0,0,0,0,0,0,0, "The United Nations Atomic Energy Commission is established."
1947,13,0,0,0,0,0,0,0,0, "The U.S. Atomic Energy Commission takes over the Manhattan Project's research and production facilities from the Manhattan Engineer District. The Manhattan Engineering District is abolished."
1948,50,0,0,0,0,0,0,0,0, "US military conducts shot Yoke of Operation Sandstone, the first fission weapon to use a levitated core design."
1949,170,1,0,0,0,0,0,0,0,"The Soviet Union tests its first atomic bomb.  The North Atlantic Treaty Organisation (NATO) is formed."
1950,299,5,0,0,0,0,0,0,0,"The World Peace Council publishes the Stockholm Appeal calling for an absolute ban on nuclear weapons."
1951,438,25,0,0,0,0,0,0,0,"Edward Teller and Stanislaw Ulam come up with a promising design (the details of which are still highly classified) to facilitate the ignition of a large mass of thermonuclear fuel by a relatively small fission explosion. Calculations based on the new design commenced immediately, most of them done by Los Alamos scientists. In addition, scientists used some of the earliest computing machines to help with calculations.Edward Teller and Stanislaw Ulam come up with a promising design (the details of which are still highly classified) to facilitate the ignition of a large mass of thermonuclear fuel by a relatively small fission explosion. Calculations based on the new design commenced immediately, most of them done by Los Alamos scientists. In addition, scientists used some of the earliest computing machines to help with calculations."
1952,841,50,0,0,0,0,0,0,0,"First British atomic bomb test off the coast of Australia."
1953,1169,120,1,0,0,0,0,0,0, "The first test of a Soviet thermonuclear device takes place. The test, which became known as Joe-4 (this had been the fourth Soviet nuclear explosion whose occurrence was announced by the United States), took place at the Semipalatinsk test site and yielded roughly 400 kilotons of TNT. President Eisenhower delivers his "Atoms for Peace" speech which outlines a program for the distribution of peaceful nuclear technology, materials, and know-how to many countries with less advanced research."
1954,1703,150,5,0,0,0,0,0,0,"The world’s first nuclear-powered submarine, the USS Nautilus, is launched. First US hydrogen bomb test. A Japanese fishing boat, the Daigo Fukuryu Maru, is exposed to radioactive fallout from an American hydrogen bomb test at Bikini Atoll in the Pacific; one crew member later dies as a result of exposure to radiation. "
